001	BANCO DE CHILE
422850101	 0001510309211,00	
422850102	 0000682759928,00	
422850103	 0000772759495,00	
422850104	 0003876605766,00	
422850105	 0000000000000,00	
422850106	 0000000000000,00	
422850190	 0063781074524,00	
425000000	-0145715655283,00	
425150100	-0049222518689,00	
425150101	-0010052962531,00	
425150102	-0024899835634,00	
425150103	-0014269720524,00	
425150104	 0000000000000,00	
425150105	 0000000000000,00	
425150190	 0000000000000,00	
425180100	-0009223624684,00	
425180101	-0006578043199,00	
425180102	-0002645581485,00	
425180103	 0000000000000,00	
425180104	 0000000000000,00	
425180190	 0000000000000,00	
425250100	 0000000000000,00	
425280100	-0034323587753,00	
425280101	 0000000000000,00	
425280102	-0034323587753,00	
425280103	 0000000000000,00	
425280104	 0000000000000,00	
425280105	 0000000000000,00	
425280109	 0000000000000,00	
425280190	 0000000000000,00	
425350100	-0005599107003,00	
425350101	-0002342041568,00	
425350102	-0002314473728,00	
425350103	 0000000000000,00	
425350104	 0000000000000,00	
425350105	-0000112310995,00	
425350106	 0000000000000,00	
425350190	-0000830280712,00	
425380100	-0047346817154,00	
425380101	 0000000000000,00	
425380102	 0000000000000,00	
425380103	-0000971494377,00	
425380104	 0000000000000,00	
425380105	-0041011898431,00	
425380106	 0000000000000,00	
425380190	-0005363424346,00	
431000000	 5440199132349,00	
431150100	 5182011194883,00	
431150101	 6248081571439,00	
431150102	-1066070376556,00	
431180100	 0246912599280,00	
431180101	 0006332014605,00	
431180102	-0000610716667,00	
431180103	 0035966830701,00	
431180104	-0026945642417,00	
431180105	 0210952633405,00	
431180106	 0021217479653,00	
431250000	 0011275338186,00	
431250100	 0005235069030,00	
431250101	 0002651924745,00	
431250102	 0000000000000,00	
431250103	 0003030797383,00	
431250104	-0000447653098,00	
431250200	 0002239862441,00	
431250201	 0000006712534,00	
431250202	-0000034233568,00	
431250203	 0009038079110,00	
431250204	-0006888653141,00	
431250205	 0000117957506,00	
431250300	 0000000000000,00	
431250301	 0000000000000,00	
431250302	 0000000000000,00	
431250303	 0000000000000,00	
431250304	 0000000000000,00	
431250305	 0000000000000,00	
431250306	 0000000000000,00	
431250900	 0003800406715,00	
431250901	 0004931548835,00	
431250902	-0001131142120,00	
431250903	 0000000000000,00	
431250904	 0000000000000,00	
431250905	 0000000000000,00	
431250906	 0000000000000,00	
431500000	-5178242578225,00	
431650100	-5177460038396,00	
431650101	 0824554533121,00	
431650102	-6002014571517,00	
431750100	-0000782539829,00	
431750101	 0000000766909,00	
431750102	-0000028846086,00	
431750103	 0001912885637,00	
431750104	-0002494278410,00	
431750105	-0000173067879,00	
431750106	 0000000000000,00	
431800000	 0000000000000,00	
431800100	 0000000000000,00	
431800101	 0000000000000,00	
431800102	 0000000000000,00	
431800103	 0000000000000,00	
431800104	 0000000000000,00	
431800105	 0000000000000,00	
431800106	 0000000000000,00	
431800900	 0000000000000,00	
431800901	 0000000000000,00	
431800902	 0000000000000,00	
431800903	 0000000000000,00	
431800904	 0000000000000,00	
431800905	 0000000000000,00	
431800906	 0000000000000,00	
431850000	 0000000000000,00	
431850100	 0000000000000,00	
431850101	 0000000000000,00	
431850102	 0000000000000,00	
431850103	 0000000000000,00	
431850104	 0000000000000,00	
431850105	 0000000000000,00	
431850106	 0000000000000,00	
431850200	 0000000000000,00	
431850210	 0000000000000,00	
431850211	 0000000000000,00	
431850212	 0000000000000,00	
431850213	 0000000000000,00	
431850214	 0000000000000,00	
431850215	 0000000000000,00	
431850216	 0000000000000,00	
431850220	 0000000000000,00	
431850221	 0000000000000,00	
431850222	 0000000000000,00	
431850223	 0000000000000,00	
431850224	 0000000000000,00	
431850225	 0000000000000,00	
431850226	 0000000000000,00	
431900000	 0000000000000,00	
431900100	 0000000000000,00	
431900101	 0000000000000,00	
431900102	 0000000000000,00	
431900103	 0000000000000,00	
431900104	 0000000000000,00	
431900105	 0000000000000,00	
431900106	 0000000000000,00	
431900200	 0000000000000,00	
431900201	 0000000000000,00	
431900202	 0000000000000,00	
431900203	 0000000000000,00	
431900204	 0000000000000,00	
431900205	 0000000000000,00	
431900206	 0000000000000,00	
431900300	 0000000000000,00	
431900301	 0000000000000,00	
431900302	 0000000000000,00	
431900303	 0000000000000,00	
431900304	 0000000000000,00	
431900305	 0000000000000,00	
431900306	 0000000000000,00	
432000000	-0061772195282,00	
432200000	 0001630642547,00	
432200100	 0000000000000,00	
432200200	 0000000000000,00	
432200300	 0000000000000,00	
432200400	 0001630642547,00	
432200500	 0000000000000,00	
432200600	 0000000000000,00	
432300700	 0000000000000,00	
432400000	-0063401464633,00	
432400100	 0000000000000,00	
432400200	-0063401464633,00	
432400300	 0000000000000,00	
432400400	 0000000000000,00	
432400500	 0000000000000,00	
432400600	 0000000000000,00	
432400700	 0000000000000,00	
432600000	-0000001373196,00	
432600100	 0000000000000,00	
432600200	 0000000000000,00	
432600300	 0000000000000,00	
432600400	 0000000000000,00	
432600500	-0000001373196,00	
432600600	 0000000000000,00	
432600800	 0000000000000,00	
432600900	 0000000000000,00	
432700000	 0000000000000,00	
432700100	 0000000000000,00	
432700200	 0000000000000,00	
433000000	 0103200158914,00	
433100100	 0144079501503,00	
433100101	 0137442845278,00	
433100102	 0006636656225,00	
433200000	 0000490746482,00	
433210000	 0000025430701,00	
433210100	 0000193527604,00	
433210200	-0000168096903,00	
433220000	 0000000000000,00	
433220100	 0000000000000,00	
433220200	 0000000000000,00	
433230000	 0000000000000,00	
433230100	 0000000000000,00	
433230200	 0000000000000,00	
433240000	 0000000000000,00	
433240100	 0000000000000,00	
433240200	 0000000000000,00	
433250000	 0000240358608,00	
433250100	 0000000000000,00	
433250200	 0000000000000,00	
433250300	 0000000000000,00	
433250301	 0000000000000,00	
433250302	 0000000000000,00	
433250303	 0000000000000,00	
433250304	 0000000000000,00	
433250400	 0000240358614,00	
433250410	 0000000000000,00	
433250411	 0000000000000,00	
433250412	 0000000000000,00	
433250413	 0000000000000,00	
433250414	 0000000000000,00	
433250415	 0000000000000,00	
433250416	 0000000000000,00	
433250420	 0000000000000,00	
433250421	 0000000000000,00	
433250422	 0000000000000,00	
433250423	 0000000000000,00	
433250424	 0000000000000,00	
433250425	 0000000000000,00	
433250426	 0000000000000,00	
433250430	 0000000000000,00	
433250440	 0000000000000,00	
433250450	 0000000000000,00	
433250451	 0000000000000,00	
433250452	 0000000000000,00	
433250460	 0000240358614,00	
433250461	 0000425981055,00	
433250462	-0000185622441,00	
433250470	 0000000000000,00	
433250480	 0000000000000,00	
433250481	 0000000000000,00	
433250482	 0000000000000,00	
433250483	 0000000000000,00	
433250500	 0000000000000,00	
433250600	-0000000000006,00	
433260000	 0000369746519,00	
433300000	-0000144789346,00	
433300100	 0000000000000,00	
433300200	 0000000000000,00	
433300300	-0000144789346,00	
433300400	 0000000000000,00	
433300500	 0000000000000,00	
433300600	 0000000000000,00	
433300700	 0000000000000,00	
433300900	 0000000000000,00	
433301000	 0000000000000,00	
433310000	 0000000000000,00	
433320000	 0000000000000,00	
433330000	 0000000000000,00	
433330100	 0000000000000,00	
433330200	 0000000000000,00	
433500100	-0041370089071,00	
433500101	 0000000000000,00	
433500102	 0000000000000,00	
433500103	 0420187079610,00	
433500104	-0461557168681,00	
434000000	 0000000000000,00	
434000100	 0000000000000,00	
434000101	 0000000000000,00	
434000102	 0000000000000,00	
434000103	 0000000000000,00	
434000104	 0000000000000,00	
434000109	 0000000000000,00	
434000200	 0000000000000,00	
434000201	 0000000000000,00	
434000202	 0000000000000,00	
434000203	 0000000000000,00	
434000204	 0000000000000,00	
434000209	 0000000000000,00	
435200000	 0000000000000,00	
435200100	 0000000000000,00	
435200101	 0000000000000,00	
435200102	 0000000000000,00	
435200103	 0000000000000,00	
435200200	 0000000000000,00	
435200201	 0000000000000,00	
435200202	 0000000000000,00	
435200300	 0000000000000,00	
435200301	 0000000000000,00	
435200302	 0000000000000,00	
435200303	 0000000000000,00	
435200304	 0000000000000,00	
435200305	 0000000000000,00	
435200306	 0000000000000,00	
435200308	 0000000000000,00	
435200309	 0000000000000,00	
435200400	 0000000000000,00	
435200500	 0000000000000,00	
435200501	 0000000000000,00	
435200502	 0000000000000,00	
435200503	 0000000000000,00	
435300000	 0000000000000,00	
435300100	 0000000000000,00	
435300200	 0000000000000,00	
435400000	 0000000000000,00	
435400100	 0000000000000,00	
435400101	 0000000000000,00	
435400102	 0000000000000,00	
435400103	 0000000000000,00	
440000000	 0013579907571,00	
442000100	 0013579907571,00	
442000101	 0000000000000,00	
442000102	 0000000000000,00	
442000103	 0000000000000,00	
442000104	 0010483937424,00	
442000105	 0000000000000,00	
442000106	 0002546830990,00	
442000107	 0000000000000,00	
442000108	 0000498890990,00	
442000109	 0000050248167,00	
444000100	 0000000000000,00	
444000101	 0000000000000,00	
444000102	 0000000000000,00	
444000103	 0000000000000,00	
444000104	 0000000000000,00	
444000105	 0000000000000,00	
444000106	 0000000000000,00	
444000107	 0000000000000,00	
450000000	 0002004083914,00	
451000000	-0000331775603,00	
451000100	 0008039384223,00	
451000101	 0008039384223,00	
451000102	 0000000000000,00	
451000200	 0000163697600,00	
451000300	-0000620010563,00	
451000400	-0006838141207,00	
451000500	-0001076705656,00	
452000100	 0002335859517,00	
452000101	-0000434520755,00	
452000102	 0000000000000,00	
452000103	 0001043061383,00	
452000104	 0001727318889,00	
452000109	 0000000000000,00	
452000200	 0000000000000,00	
455000000	 0029658404080,00	
455000100	 0000000000047,00	
455000200	 0006765235988,00	
455000300	 0000000000000,00	
455000400	 0003115944085,00	
455000500	 0000000000000,00	
455000600	 0000047812712,00	
455000900	 0019729411248,00	
462000000	-0528226065879,00	
462100100	-0491698090260,00	
462100101	-0289736441485,00	
462100102	-0065261109365,00	
462100103	-0030615188237,00	
462100190	-0106085351173,00	
462200100	 0000000000000,00	
462300100	 0000000000000,00	
462300101	 0000000000000,00	
462300102	 0000000000000,00	
462300190	 0000000000000,00	
462400100	-0027380944853,00	
462400101	-0027380944853,00	
462400190	 0000000000000,00	
462500100	 0000000000000,00	
462500101	 0000000000000,00	
462500102	 0000000000000,00	
462600100	 0000000000000,00	
462700100	 0000000000000,00	
462800100	 0000000000000,00	
462900100	-0009147030766,00	
462900101	-0002596682649,00	
462900102	-0001403556565,00	
462900190	-0005146791552,00	
464000000	-0355273575955,00	
464100100	-0259310205584,00	
464100101	-0002782491046,00	
464100102	-0000491485232,00	
464100103	-0003732073062,00	
464100104	-0042155532803,00	
464100105	-0008466165819,00	
464100106	-0009288244862,00	
464100107	-0123809538202,00	
464100108	-0005305950055,00	
464100109	-0012995252176,00	
464100110	-0002448733138,00	
464100111	-0003731994391,00	
464100112	-0000777596546,00	
464100113	-0000078575781,00	
464100114	-0000175643763,00	
