016	BANCO DE CRÉDITO E INVERSIONES
416800200	-0584587600566,00	
416800300	 0000000000000,00	
420000000	 0508327929682,00	
422150100	 0004507884667,00	
422150101	 0000000000000,00	
422150102	 0000555160337,00	
422150103	 0000000000000,00	
422150104	 0003952724330,00	
422180100	 0000000000000,00	
422180101	 0000000000000,00	
422180102	 0000000000000,00	
422250100	 0005453414746,00	
422250101	 0004611524538,00	
422250102	 0000841890208,00	
422280100	 0029549624779,00	
422280101	 0000750851307,00	
422280102	 0001241378916,00	
422280103	 0001271348390,00	
422280104	 0026286046166,00	
422280105	 0000000000000,00	
422280190	 0000000000000,00	
422350100	 0112826701507,00	
422350101	 0025065724402,00	
422350102	 0076871618605,00	
422350103	 0007507785022,00	
422350104	 0002833537496,00	
422350105	 0000521935859,00	
422350106	 0000000000000,00	
422350107	 0000000000000,00	
422350108	 0000000000000,00	
422350109	 0000000000000,00	
422350190	 0000026100123,00	
422380100	 0060021825594,00	
422380101	 0002716195240,00	
422380102	 0021469562897,00	
422380103	 0000000000000,00	
422380104	 0006471265792,00	
422380105	 0000000000000,00	
422380106	 0000000000000,00	
422380107	 0000052137018,00	
422380190	 0029312664647,00	
422450100	 0082067346513,00	
422450101	 0015444950853,00	
422450102	 0000000000000,00	
422450103	 0030085637385,00	
422450104	 0000000000000,00	
422450105	 0003341298990,00	
422450106	 0000000000000,00	
422450107	 0020255123854,00	
422450108	 0001792027327,00	
422450190	 0011148308104,00	
422480100	 0007313008789,00	
422480101	 0006001021491,00	
422480102	 0001008230199,00	
422480103	 0000266146995,00	
422480190	 0000037610104,00	
422550100	 0059463324816,00	
422550101	 0001489028477,00	
422550102	 0032214617721,00	
422550103	 0005482593454,00	
422550104	 0020277085164,00	
422580000	 0058652494676,00	
422580100	 0014320168187,00	
422580101	 0013971349318,00	
422580102	 0000348818869,00	
422580200	 0040720538227,00	
422580300	 0000761016854,00	
422580400	 0002850771408,00	
422650100	 0005277288011,00	
422680100	 0000000000000,00	
422750100	 0000159350742,00	
422780100	 0011095360685,00	
422780101	 0000150902205,00	
422780102	 0010944458480,00	
422780103	 0000000000000,00	
