049	BANCO SECURITY
416280220	 0000000000000,00	
416280221	 0000000000000,00	
416280222	 0000000000000,00	
416280223	 0000000000000,00	
416280224	 0000000000000,00	
416280229	 0000000000000,00	
416280300	 0000000000000,00	
416280301	 0000000000000,00	
416280302	 0000000000000,00	
416280400	 0000000000000,00	
416280401	 0000000000000,00	
416280402	 0000000000000,00	
416350000	-0344922850731,00	
416350100	-0000157034102,00	
416350101	-0000078949432,00	
416350102	-0000078084670,00	
416350200	-0344765816629,00	
416350201	-0344765816629,00	
416350203	 0000000000000,00	
416380000	-0000155450572,00	
416380100	-0000155450572,00	
416380101	-0000155450572,00	
416380102	 0000000000000,00	
416380200	 0000000000000,00	
416380201	 0000000000000,00	
416380202	 0000000000000,00	
416380203	 0000000000000,00	
416380204	 0000000000000,00	
416380205	 0000000000000,00	
416380206	 0000000000000,00	
416380207	 0000000000000,00	
416380208	 0000000000000,00	
416380290	 0000000000000,00	
416380300	 0000000000000,00	
416380301	 0000000000000,00	
416380302	 0000000000000,00	
416380303	 0000000000000,00	
416380304	 0000000000000,00	
416380305	 0000000000000,00	
416380306	 0000000000000,00	
416500000	-0043423684618,00	
416500100	-0043423684618,00	
416500200	 0000000000000,00	
416800000	 0000000000000,00	
416800100	 0000000000000,00	
416800200	 0000000000000,00	
416800300	 0000000000000,00	
420000000	 0074398936711,00	
422150100	 0000447760568,00	
422150101	 0000000000000,00	
422150102	 0000445433204,00	
422150103	 0000000000000,00	
422150104	 0000002327364,00	
422180100	 0000012403166,00	
422180101	 0000012403166,00	
422180102	 0000000000000,00	
422250100	 0000609731237,00	
422250101	 0000609731237,00	
422250102	 0000000000000,00	
422280100	 0005939375888,00	
422280101	 0000353680724,00	
422280102	 0000000000000,00	
422280103	 0000491285673,00	
422280104	 0004407628921,00	
422280105	 0000000000000,00	
422280190	 0000686780570,00	
422350100	 0010462259391,00	
422350101	 0000000000000,00	
422350102	 0001469822791,00	
422350103	 0006963017285,00	
422350104	 0000649807857,00	
422350105	 0001379611458,00	
422350106	 0000000000000,00	
422350107	 0000000000000,00	
422350108	 0000000000000,00	
422350109	 0000000000000,00	
422350190	 0000000000000,00	
422380100	 0004657828287,00	
422380101	 0002354132911,00	
422380102	 0002303695376,00	
422380103	 0000000000000,00	
422380104	 0000000000000,00	
422380105	 0000000000000,00	
422380106	 0000000000000,00	
422380107	 0000000000000,00	
422380190	 0000000000000,00	
422450100	 0007048258969,00	
422450101	 0000000000000,00	
422450102	 0000000000000,00	
422450103	 0003651936802,00	
422450104	 0000000000000,00	
