999	SISTEMA FINANCIERO
434000000	 0000000000000,00	
434000100	 0000000000000,00	
434000101	 0000000000000,00	
434000102	 0000000000000,00	
434000103	 0000000000000,00	
434000104	 0000000000000,00	
434000109	 0000000000000,00	
434000200	 0000000000000,00	
434000201	 0000000000000,00	
434000202	 0000000000000,00	
434000203	 0000000000000,00	
434000204	 0000000000000,00	
434000209	 0000000000000,00	
435200000	-0000005719802,00	
435200100	 0000000000000,00	
435200101	 0000000000000,00	
435200102	 0000000000000,00	
435200103	 0000000000000,00	
435200200	 0000000000000,00	
435200201	 0000000000000,00	
435200202	 0000000000000,00	
435200300	 0000000000000,00	
435200301	 0000000000000,00	
435200302	 0000000000000,00	
435200303	 0000000000000,00	
435200304	 0000000000000,00	
435200305	 0000000000000,00	
435200306	 0000000000000,00	
435200308	 0000000000000,00	
435200309	 0000000000000,00	
435200400	-0000005719802,00	
435200500	 0000000000000,00	
435200501	 0000000000000,00	
435200502	 0000000000000,00	
435200503	 0000000000000,00	
435300000	 0003363769741,00	
435300100	 0003363769741,00	
435300200	 0000000000000,00	
435400000	 0001123190499,00	
435400100	 0001123190499,00	
435400101	 0006331960907,00	
435400102	-0005208770408,00	
435400103	 0000000000000,00	
440000000	 0046313972943,00	
442000100	 0046957181583,00	
442000101	 0000000000000,00	
442000102	 0000000000000,00	
442000103	 0000000000000,00	
442000104	 0040175680632,00	
442000105	 0000000000000,00	
442000106	 0002546830990,00	
442000107	 0000000000000,00	
442000108	 0002080343949,00	
442000109	 0002154326012,00	
444000100	-0000643208640,00	
444000101	 0000000000000,00	
444000102	 0000000000000,00	
444000103	 0000000000000,00	
444000104	-0000643208640,00	
444000105	 0000000000000,00	
444000106	 0000000000000,00	
444000107	 0000000000000,00	
450000000	-0001827131753,00	
451000000	-0021858027048,00	
451000100	 0026476597280,00	
451000101	 0008738016065,00	
451000102	 0017738581215,00	
451000200	 0021621482452,00	
451000300	-0028868763099,00	
451000400	-0034870291433,00	
451000500	-0006217052248,00	
452000100	 0019479355068,00	
452000101	 0001323177046,00	
452000102	 0000000000000,00	
452000103	 0010224281535,00	
452000104	 0007559040974,00	
452000109	 0000372855513,00	
452000200	 0000551540227,00	
455000000	 0258839010518,00	
455000100	 0000344057716,00	
455000200	 0006765235988,00	
455000300	 0027588242170,00	
455000400	 0003597869632,00	
455000500	 0002344884443,00	
455000600	 0029207349200,00	
455000900	 0188991371369,00	
462000000	-3180776617594,00	
462100100	-2868583485441,00	
462100101	-1791352007348,00	
462100102	-0500001323211,00	
462100103	-0286589355246,00	
462100190	-0290640799636,00	
462200100	 0000000000000,00	
462300100	-0031360392494,00	
462300101	-0001085782504,00	
462300102	-0000861730649,00	
462300190	-0029412879341,00	
462400100	-0135459895112,00	
462400101	-0135459895112,00	
462400190	 0000000000000,00	
462500100	-0001772897086,00	
462500101	-0001491475591,00	
462500102	-0000281421495,00	
462600100	 0000000000000,00	
462700100	-0002718289539,00	
462800100	-0006433780479,00	
462900100	-0134447877443,00	
462900101	-0017719996118,00	
462900102	-0006828059335,00	
462900190	-0109899821990,00	
464000000	-2405475644090,00	
464100100	-1483022374308,00	
464100101	-0020144608951,00	
464100102	-0012449510647,00	
464100103	-0013999831796,00	
464100104	-0146034985725,00	
464100105	-0060645068668,00	
464100106	-0033906150658,00	
464100107	-0605248717679,00	
464100108	-0038514330727,00	
464100109	-0066989271718,00	
464100110	-0020140637597,00	
464100111	-0043874127000,00	
464100112	-0015726547447,00	
464100113	-0000103154039,00	
464100114	-0002026702769,00	
464100115	-0000601336651,00	
464100116	-0077108427058,00	
464100117	-0000358008590,00	
464100118	-0001118755082,00	
464100190	-0324032201506,00	
464200100	-0508661397759,00	
464200101	-0139008510737,00	
464200102	-0077509962421,00	
464200103	-0021331994597,00	
464200104	-0001321273609,00	
464200105	-0034621955385,00	
464200106	-0030817658891,00	
464200107	-0015859721765,00	
464200108	-0033888633409,00	
464200109	-0000210603642,00	
464200110	-0010448782331,00	
464200190	-0143642300972,00	
464300100	-0019691337405,00	
464300101	-0018790454854,00	
464300102	-0000900882551,00	
464400100	-0212147639998,00	
464500100	-0181952894620,00	
464500101	-0016339794929,00	
464500102	-0019800956155,00	
464500103	-0051976060442,00	
464500104	-0092631648099,00	
464500190	-0001204434995,00	
466000000	-0634939548691,00	
466100000	-0266765184435,00	
466100100	-0056032848035,00	
466100101	-0006179442006,00	
466100102	-0009228362280,00	
466100103	-0020674780399,00	
466100104	-0005615541804,00	
466100105	-0000253844004,00	
466100106	-0000850793940,00	
466100107	-0003647095771,00	
