039	ITAÚ CORPBANCA
422250101	 0003721994948,00	
422250102	 0000092250000,00	
422280100	 0024133681247,00	
422280101	 0002085954185,00	
422280102	 0000000000000,00	
422280103	 0004561535938,00	
422280104	 0017486074502,00	
422280105	 0000000000000,00	
422280190	 0000000116622,00	
422350100	 0085081926342,00	
422350101	 0009521381784,00	
422350102	 0024863523351,00	
422350103	 0046643056344,00	
422350104	 0004048882352,00	
422350105	 0000000015914,00	
422350106	 0000000000000,00	
422350107	 0000000000000,00	
422350108	 0000000000000,00	
422350109	 0000000000000,00	
422350190	 0000005066597,00	
422380100	 0013156998577,00	
422380101	 0011036050466,00	
422380102	 0000924886852,00	
422380103	 0000549919453,00	
422380104	 0000587450664,00	
422380105	 0000000000000,00	
422380106	 0000000000000,00	
422380107	 0000058691142,00	
422380190	 0000000000000,00	
422450100	 0037666916724,00	
422450101	 0008926259592,00	
422450102	 0000102400477,00	
422450103	 0012574935013,00	
422450104	 0001960756487,00	
422450105	 0004517105429,00	
422450106	 0000000000000,00	
422450107	 0008257965390,00	
422450108	 0001221960087,00	
422450190	 0000105534249,00	
422480100	 0003490483709,00	
422480101	 0002713556383,00	
422480102	 0000167768881,00	
422480103	 0000422779954,00	
422480190	 0000186378491,00	
422550100	 0013776287978,00	
422550101	 0000294551615,00	
422550102	 0000000000000,00	
422550103	 0000068971452,00	
422550104	 0013412764911,00	
422580000	 0043149438817,00	
422580100	 0043149438817,00	
422580101	 0043109218751,00	
422580102	 0000040220066,00	
422580200	 0000000000000,00	
422580300	 0000000000000,00	
422580400	 0000000000000,00	
422650100	 0000463075881,00	
422680100	 0000037721095,00	
422750100	 0000043666284,00	
422780100	 0010346454971,00	
422780101	 0000359471656,00	
422780102	 0002026578014,00	
422780103	 0000000000000,00	
422780190	 0007960405301,00	
422850100	 0023247679908,00	
422850101	 0003774708055,00	
422850102	 0000146412098,00	
422850103	 0000711473120,00	
422850104	 0000000000000,00	
422850105	 0000230293410,00	
422850106	 0005509409592,00	
422850190	 0012875383633,00	
425000000	-0090140862370,00	
425150100	-0047193508650,00	
425150101	-0002357458883,00	
425150102	-0037359757062,00	
425150103	-0007476292705,00	
425150104	 0000000000000,00	
425150105	 0000000000000,00	
425150190	 0000000000000,00	
425180100	-0002169190484,00	
425180101	-0002164480598,00	
425180102	-0000004709886,00	
425180103	 0000000000000,00	
425180104	 0000000000000,00	
425180190	 0000000000000,00	
425250100	-0002067770825,00	
425280100	-0022188272086,00	
