051	BANCO FALABELLA
416150300	 0000000000000,00	
416150500	 0000000000000,00	
416180000	-0002440395858,00	
416180100	-0000436533369,00	
416180200	-0001905912107,00	
416180201	-0001284462704,00	
416180202	-0000621449403,00	
416180300	-0000097950382,00	
416180301	 0000000000000,00	
416180302	 0000000000000,00	
416180390	-0000097950382,00	
416250000	 0000000000000,00	
416250100	 0000000000000,00	
416250101	 0000000000000,00	
416250102	 0000000000000,00	
416250103	 0000000000000,00	
416250200	 0000000000000,00	
416250201	 0000000000000,00	
416250202	 0000000000000,00	
416250203	 0000000000000,00	
416250300	 0000000000000,00	
416250301	 0000000000000,00	
416250302	 0000000000000,00	
416250400	 0000000000000,00	
416250401	 0000000000000,00	
416250402	 0000000000000,00	
416280000	 0000000000000,00	
416280100	 0000000000000,00	
416280110	 0000000000000,00	
416280111	 0000000000000,00	
416280112	 0000000000000,00	
416280113	 0000000000000,00	
416280120	 0000000000000,00	
416280121	 0000000000000,00	
416280122	 0000000000000,00	
416280123	 0000000000000,00	
416280124	 0000000000000,00	
416280129	 0000000000000,00	
416280200	 0000000000000,00	
416280210	 0000000000000,00	
416280211	 0000000000000,00	
416280212	 0000000000000,00	
416280213	 0000000000000,00	
416280220	 0000000000000,00	
416280221	 0000000000000,00	
416280222	 0000000000000,00	
416280223	 0000000000000,00	
416280224	 0000000000000,00	
416280229	 0000000000000,00	
416280300	 0000000000000,00	
416280301	 0000000000000,00	
416280302	 0000000000000,00	
416280400	 0000000000000,00	
416280401	 0000000000000,00	
416280402	 0000000000000,00	
416350000	-0004520204017,00	
416350100	-0000808687225,00	
416350101	-0000805599570,00	
416350102	-0000003087655,00	
416350200	-0003711516792,00	
416350201	-0003711516792,00	
416350203	 0000000000000,00	
416380000	-0002860534197,00	
416380100	-0000002514197,00	
416380101	-0000002514197,00	
416380102	 0000000000000,00	
416380200	-0002858020000,00	
416380201	 0000000000000,00	
416380202	 0000000000000,00	
416380203	 0000000000000,00	
416380204	 0000000000000,00	
416380205	 0000000000000,00	
416380206	 0000000000000,00	
416380207	 0000000000000,00	
416380208	 0000000000000,00	
416380290	-0002858020000,00	
416380300	 0000000000000,00	
416380301	 0000000000000,00	
416380302	 0000000000000,00	
416380303	 0000000000000,00	
416380304	 0000000000000,00	
416380305	 0000000000000,00	
416380306	 0000000000000,00	
416500000	-0000430655677,00	
416500100	-0000430655677,00	
416500200	 0000000000000,00	
416800000	 0000000000000,00	
416800100	 0000000000000,00	
416800200	 0000000000000,00	
416800300	 0000000000000,00	
420000000	 0077289362127,00	
422150100	 0002036007472,00	
422150101	 0000000000000,00	
422150102	 0000013528113,00	
422150103	 0000000000000,00	
422150104	 0002022479359,00	
422180100	 0000207273288,00	
422180101	 0000207273288,00	
422180102	 0000000000000,00	
422250100	 0000000000000,00	
422250101	 0000000000000,00	
422250102	 0000000000000,00	
422280100	 0000000000000,00	
422280101	 0000000000000,00	
422280102	 0000000000000,00	
422280103	 0000000000000,00	
422280104	 0000000000000,00	
422280105	 0000000000000,00	
422280190	 0000000000000,00	
422350100	 0051292186878,00	
422350101	 0002668964205,00	
422350102	 0000152491839,00	
422350103	 0032010873197,00	
422350104	 0000108938336,00	
422350105	 0016350919301,00	
422350106	 0000000000000,00	
422350107	 0000000000000,00	
422350108	 0000000000000,00	
422350109	 0000000000000,00	
422350190	 0000000000000,00	
422380100	 0008773015779,00	
422380101	 0008113921101,00	
422380102	 0000000000000,00	
422380103	 0000463166794,00	
422380104	 0000000000000,00	
422380105	 0000000000000,00	
422380106	 0000000000000,00	
422380107	 0000195927884,00	
422380190	 0000000000000,00	
422450100	 0012916079064,00	
422450101	 0003778452333,00	
422450102	 0000000000000,00	
422450103	 0000000000000,00	
422450104	 0000067888847,00	
422450105	 0000000000000,00	
422450106	 0000000000000,00	
422450107	 0005012316463,00	
422450108	 0004057421421,00	
422450190	 0000000000000,00	
422480100	 0000000000000,00	
422480101	 0000000000000,00	
422480102	 0000000000000,00	
422480103	 0000000000000,00	
422480190	 0000000000000,00	
422550100	 0000000000000,00	
422550101	 0000000000000,00	
422550102	 0000000000000,00	
422550103	 0000000000000,00	
422550104	 0000000000000,00	
422580000	 0001120163400,00	
422580100	 0001120163400,00	
422580101	 0001120163400,00	
422580102	 0000000000000,00	
422580200	 0000000000000,00	
422580300	 0000000000000,00	
422580400	 0000000000000,00	
422650100	 0000000000000,00	
422680100	 0000000000000,00	
422750100	 0000000000000,00	
422780100	 0000000000000,00	
422780101	 0000000000000,00	
422780102	 0000000000000,00	
422780103	 0000000000000,00	
422780190	 0000000000000,00	
422850100	 0000944636246,00	
422850101	 0000000000000,00	
422850102	 0000000000000,00	
422850103	 0000000000000,00	
422850104	 0000000000000,00	
422850105	 0000000000000,00	
422850106	 0000279321618,00	
422850190	 0000665314628,00	
425000000	-0038333325345,00	
425150100	-0017558472710,00	
425150101	-0005112103351,00	
425150102	-0004486563295,00	
425150103	-0007208671892,00	
425150104	 0000000000000,00	
425150105	 0000000000000,00	
425150190	-0000751134172,00	
425180100	 0000000000000,00	
425180101	 0000000000000,00	
425180102	 0000000000000,00	
425180103	 0000000000000,00	
425180104	 0000000000000,00	
425180190	 0000000000000,00	
425250100	 0000000000000,00	
425280100	 0000000000000,00	
425280101	 0000000000000,00	
425280102	 0000000000000,00	
425280103	 0000000000000,00	
425280104	 0000000000000,00	
425280105	 0000000000000,00	
425280109	 0000000000000,00	
425280190	 0000000000000,00	
425350100	-0000530645769,00	
425350101	-0000039423915,00	
425350102	-0000288623547,00	
425350103	 0000000000000,00	
425350104	 0000000000000,00	
425350105	-0000199758232,00	
425350106	 0000000000000,00	
425350190	-0000002840075,00	
425380100	-0020244206866,00	
425380101	 0000000000000,00	
425380102	 0000000000000,00	
425380103	-0000076964427,00	
425380104	 0000000000000,00	
425380105	-0002796772091,00	
425380106	-0000085282586,00	
425380190	-0017285187762,00	
431000000	 0007628240159,00	
431150100	-0004241448364,00	
431150101	 0502354777285,00	
431150102	-0506596225649,00	
431180100	-0000027150486,00	
431180101	 0000141122220,00	
431180102	 0000000000000,00	
431180103	 0000130857848,00	
431180104	-0000835948119,00	
431180105	 0000413738280,00	
431180106	 0000123079285,00	
431250000	 0011896839009,00	
431250100	 0011770578597,00	
431250101	 0011338247394,00	
431250102	 0000000000000,00	
431250103	 0000432331203,00	
431250104	 0000000000000,00	
431250200	 0000126260412,00	
431250201	 0000126260412,00	
431250202	-0000343508473,00	
431250203	 0000000000000,00	
431250204	 0000000000000,00	
431250205	 0000343508473,00	
431250300	 0000000000000,00	
431250301	 0000000000000,00	
431250302	 0000000000000,00	
431250303	 0000000000000,00	
431250304	 0000000000000,00	
431250305	 0000000000000,00	
431250306	 0000000000000,00	
431250900	 0000000000000,00	
431250901	 0000000000000,00	
431250902	 0000000000000,00	
431250903	 0000000000000,00	
431250904	 0000000000000,00	
431250905	 0000000000000,00	
431250906	 0000000000000,00	
431500000	 0000000000000,00	
431650100	 0000000000000,00	
431650101	 0000000000000,00	
431650102	 0000000000000,00	
431750100	 0000000000000,00	
431750101	 0000000000000,00	
431750102	 0000000000000,00	
431750103	 0000000000000,00	
431750104	 0000000000000,00	
431750105	 0000000000000,00	
431750106	 0000000000000,00	
431800000	 0000000000000,00	
431800100	 0000000000000,00	
431800101	 0000000000000,00	
431800102	 0000000000000,00	
431800103	 0000000000000,00	
431800104	 0000000000000,00	
431800105	 0000000000000,00	
431800106	 0000000000000,00	
431800900	 0000000000000,00	
431800901	 0000000000000,00	
431800902	 0000000000000,00	
431800903	 0000000000000,00	
431800904	 0000000000000,00	
431800905	 0000000000000,00	
431800906	 0000000000000,00	
431850000	 0000000000000,00	
431850100	 0000000000000,00	
431850101	 0000000000000,00	
431850102	 0000000000000,00	
431850103	 0000000000000,00	
431850104	 0000000000000,00	
431850105	 0000000000000,00	
431850106	 0000000000000,00	
431850200	 0000000000000,00	
431850210	 0000000000000,00	
431850211	 0000000000000,00	
431850212	 0000000000000,00	
431850213	 0000000000000,00	
431850214	 0000000000000,00	
431850215	 0000000000000,00	
431850216	 0000000000000,00	
431850220	 0000000000000,00	
431850221	 0000000000000,00	
431850222	 0000000000000,00	
431850223	 0000000000000,00	
