016	BANCO DE CRÉDITO E INVERSIONES
856050400	 2385609908280,00	
856050500	 2674608621629,00	
856050600	 0000000000000,00	
856050800	 0877919113573,00	
856050900	 0000000000000,00	
856150000	 0120558027414,00	
856150100	 0001589526708,00	
856150200	 0003304629521,00	
856150300	 0000000000000,00	
856150400	 0044406100877,00	
856150500	 0070352553963,00	
856150600	 0000000000000,00	
856150800	 0000905216345,00	
856150900	 0000000000000,00	
856250000	 0011392729846,00	
856250100	 0003501582767,00	
856250200	 0000016467000,00	
856250300	 0000000000000,00	
856250400	 0004764325699,00	
856250500	 0003110354380,00	
856250600	 0000000000000,00	
856250800	 0000000000000,00	
856250900	 0000000000000,00	
856350000	 1052891259971,00	
856350100	 0002920612447,00	
856350200	 0020569790273,00	
856350300	 0000000000000,00	
856350400	 0110543152438,00	
856350500	 0884125066466,00	
856350600	 0000000000000,00	
856350700	 0002869060764,00	
856350800	 0031863577583,00	
856350900	 0000000000000,00	
856450000	 0005176270535,00	
856450100	 0000024700500,00	
856450200	 0000399196077,00	
856450300	 0000000000000,00	
856450400	 0001713920990,00	
856450500	 0003038452968,00	
856450600	 0000000000000,00	
856450700	 0000000000000,00	
856450800	 0000000000000,00	
856450900	 0000000000000,00	
856550000	 4877303795703,00	
856550100	 0441593876390,00	
856550200	 0000000000000,00	
856550300	 0000541868364,00	
856550400	 0000292673912,00	
856550500	 4434875377037,00	
856550600	 0000000000000,00	
856650000	 0014317431513,00	
856650100	 0001436079031,00	
856650200	 0000001636255,00	
856650300	 0000019886350,00	
856650400	 0000000000000,00	
856650500	 0012859829877,00	
856650600	 0000000000000,00	
856750000	 0000000000000,00	
856750100	 0000000000000,00	
856750200	 0000000000000,00	
856750300	 0000000000000,00	
856750400	 0000000000000,00	
856750500	 0000000000000,00	
856750600	 0000000000000,00	
856750800	 0000000000000,00	
856750900	 0000000000000,00	
856850000	 0000000000000,00	
856850100	 0000000000000,00	
856850200	 0000000000000,00	
856850300	 0000000000000,00	
856850400	 0000000000000,00	
856850500	 0000000000000,00	
856850600	 0000000000000,00	
856850800	 0000000000000,00	
856850900	 0000000000000,00	
856950000	 0000000000000,00	
856950100	 0000000000000,00	
856950200	 0000000000000,00	
856950300	 0000000000000,00	
856950400	 0000000000000,00	
856950500	 0000000000000,00	
856950600	 0000000000000,00	
856950800	 0000000000000,00	
856950900	 0000000000000,00	
857000000	 0403103322482,00	
857100000	 0000000000000,00	
857100100	 0000000000000,00	
857100200	 0000000000000,00	
857200000	 0259315260505,00	
857200100	 0215749339658,00	
857200101	 0215745011938,00	
857200102	 0000000000000,00	
857200103	 0000004327720,00	
857200104	 0000000000000,00	
857200600	 0000000000000,00	
857200700	 0003328639832,00	
857200800	 0003600501056,00	
857200900	 0002244401596,00	
857201000	 0013844151738,00	
857201100	 0017249620664,00	
857201200	 0003298605961,00	
857300000	 0077595440450,00	
857300100	 0000073679283,00	
857300200	 0016477423899,00	
857300300	 0000000000000,00	
857300400	 0060606548895,00	
857300500	 0000000000000,00	
857300600	 0000437788373,00	
857400000	 0066192621527,00	
857400100	 0026859985001,00	
857400200	 0001282168696,00	
857400300	 0038049789755,00	
857400400	 0000000000000,00	
857400500	 0000000678075,00	
858000000	 0000000000000,00	
858100000	 0000000000000,00	
858200000	 0000000000000,00	
858300000	 0000000000000,00	
858400000	 0000000000000,00	
859000000	 0000000000000,00	
859100000	 0000000000000,00	
859200000	 0000000000000,00	
859300000	 0000000000000,00	
859400000	 0000000000000,00	
