039	ITAÚ CORPBANCA
425280104	 0000000000000,00	
425280105	 0000000000000,00	
425280109	 0000000000000,00	
425280190	 0000000000000,00	
425350100	-0003784496817,00	
425350101	-0000848935791,00	
425350102	-0002775091119,00	
425350103	 0000000000000,00	
425350104	 0000000000000,00	
425350105	 0000000000000,00	
425350106	 0000000000000,00	
425350190	-0000160469907,00	
425380100	-0008136231131,00	
425380101	-0000011815413,00	
425380102	-0000031974925,00	
425380103	-0002809034132,00	
425380104	 0000000000000,00	
425380105	-0000865115127,00	
425380106	 0000000000000,00	
425380190	-0004418291534,00	
431000000	 0261921515457,00	
431150100	 0260300169730,00	
431150101	 5561494169381,00	
431150102	-5301193999651,00	
431180100	-0001808833430,00	
431180101	 0046706928026,00	
431180102	-0074876797231,00	
431180103	 0008289793460,00	
431180104	-0010667438106,00	
431180105	 0027826280163,00	
431180106	 0000912400258,00	
431250000	 0003430179157,00	
431250100	 0003430179157,00	
431250101	 0003430191140,00	
431250102	-0000000011983,00	
431250103	 0000000000000,00	
431250104	 0000000000000,00	
431250200	 0000000000000,00	
431250201	 0000000000000,00	
431250202	 0000000000000,00	
431250203	 0000000000000,00	
431250204	 0000000000000,00	
431250205	 0000000000000,00	
431250300	 0000000000000,00	
431250301	 0000000000000,00	
431250302	 0000000000000,00	
431250303	 0000000000000,00	
431250304	 0000000000000,00	
431250305	 0000000000000,00	
431250306	 0000000000000,00	
431250900	 0000000000000,00	
431250901	 0000000000000,00	
431250902	 0000000000000,00	
431250903	 0000000000000,00	
431250904	 0000000000000,00	
431250905	 0000000000000,00	
431250906	 0000000000000,00	
431500000	 0000000000000,00	
431650100	 0000000000000,00	
431650101	 0000000000000,00	
431650102	 0000000000000,00	
431750100	 0000000000000,00	
431750101	 0000000000000,00	
431750102	 0000000000000,00	
431750103	 0000000000000,00	
431750104	 0000000000000,00	
431750105	 0000000000000,00	
431750106	 0000000000000,00	
431800000	-0009804779603,00	
431800100	 0000000000000,00	
431800101	 0000000000000,00	
431800102	 0000000000000,00	
431800103	 0000000000000,00	
431800104	 0000000000000,00	
431800105	 0000000000000,00	
431800106	 0000000000000,00	
431800900	-0009804779603,00	
431800901	 0000000000000,00	
431800902	-0011732025023,00	
431800903	 0000000000000,00	
431800904	 0000000000000,00	
431800905	 0001927245420,00	
431800906	 0000000000000,00	
431850000	 0000000000000,00	
431850100	 0000000000000,00	
431850101	 0000000000000,00	
