016	BANCO DE CRÉDITO E INVERSIONES
415280000	 0221836079407,00	
415280100	 0196870008950,00	
415280101	 0099490963336,00	
415280102	 0000000000000,00	
415280103	 0000000000000,00	
415280104	 0000014340509,00	
415280105	 0097364705105,00	
415280106	 0000000000000,00	
415280200	 0000000000000,00	
415280201	 0000000000000,00	
415280209	 0000000000000,00	
415280221	 0000000000000,00	
415280229	 0000000000000,00	
415280231	 0000000000000,00	
415280239	 0000000000000,00	
415280300	 0000000000000,00	
415280400	 0000000000000,00	
415280500	-0001303172534,00	
415280501	-0001096374479,00	
415280502	-0000206798055,00	
415280600	 0021617784645,00	
415280601	 0015437271619,00	
415280602	 0006180513026,00	
415280700	 0004651458346,00	
415280701	 0004650501234,00	
415280702	 0000000548763,00	
415280709	 0000000408349,00	
415280900	 0000000000000,00	
415280901	 0000000000000,00	
415280902	 0000000000000,00	
415280990	 0000000000000,00	
415350000	 0407316337093,00	
415350100	 0000049472039,00	
415350200	 0000085970350,00	
415350300	 0000000000000,00	
415350400	 0403819474166,00	
415350401	 0000000000000,00	
415350402	 0403819474166,00	
415350500	 0000000000000,00	
415350900	 0003361420538,00	
415350901	 0000000000000,00	
415350902	 0000000000000,00	
415350903	 0000000000000,00	
415350990	 0003361420538,00	
415380000	 0000570813644,00	
415380100	 0000568157946,00	
415380200	 0000000000000,00	
415380300	 0000000000000,00	
415380400	 0000002655698,00	
415380900	 0000000000000,00	
415380901	 0000000000000,00	
415380990	 0000000000000,00	
415450000	 0008020678309,00	
415450100	 0000000000000,00	
415450101	 0000000000000,00	
415450102	 0000000000000,00	
415450109	 0000000000000,00	
415450300	 0000000000000,00	
415450900	 0008020678309,00	
415600000	 0080030852336,00	
415620000	 0080030852336,00	
415620100	 0043249101225,00	
415620101	 0000051084615,00	
415620102	 0043043728696,00	
415620109	 0000154287914,00	
415620200	 0036564037860,00	
415620201	 0036129633219,00	
415620202	 0000434404641,00	
415620209	 0000000000000,00	
415620300	 0000217713251,00	
415620301	 0000000000000,00	
415620302	 0000217713251,00	
415620303	 0000000000000,00	
415620304	 0000000000000,00	
415620309	 0000000000000,00	
415640000	 0000000000000,00	
415640100	 0000000000000,00	
415640101	 0000000000000,00	
415640102	 0000000000000,00	
415640103	 0000000000000,00	
415640104	 0000000000000,00	
415640200	 0000000000000,00	
415800000	 0065626781452,00	
415800100	 0448428205128,00	
415800200	-0382801423676,00	
415800300	 0000000000000,00	
416000000	-0382205457890,00	
416100100	-0254150685427,00	
416150000	-0003137633752,00	
416150100	 0000000000000,00	
416150101	 0000000000000,00	
416150102	 0000000000000,00	
416150103	 0000000000000,00	
416150104	 0000000000000,00	
416150200	 0000000000000,00	
416150201	 0000000000000,00	
416150202	 0000000000000,00	
416150300	 0000000000000,00	
416150500	-0003137633752,00	
416180000	-0037349755858,00	
416180100	-0034678224458,00	
416180200	-0002639000761,00	
416180201	-0001796788505,00	
416180202	-0000842212256,00	
416180300	-0000032530639,00	
416180301	-0000032530639,00	
416180302	 0000000000000,00	
416180390	 0000000000000,00	
416250000	-0001086857778,00	
416250100	-0000027051038,00	
416250101	 0000000000000,00	
416250102	-0000027051038,00	
416250103	 0000000000000,00	
416250200	 0000000000000,00	
416250201	 0000000000000,00	
416250202	 0000000000000,00	
416250203	 0000000000000,00	
416250300	-0001059806740,00	
416250301	-0001059806740,00	
416250302	 0000000000000,00	
416250400	 0000000000000,00	
416250401	 0000000000000,00	
416250402	 0000000000000,00	
416280000	-0000008498308,00	
416280100	-0000008498308,00	
416280110	 0000000000000,00	
416280111	 0000000000000,00	
416280112	 0000000000000,00	
416280113	 0000000000000,00	
416280120	-0000008498308,00	
416280121	-0000008498308,00	
416280122	 0000000000000,00	
416280123	 0000000000000,00	
416280124	 0000000000000,00	
416280129	 0000000000000,00	
416280200	 0000000000000,00	
416280210	 0000000000000,00	
416280211	 0000000000000,00	
416280212	 0000000000000,00	
416280213	 0000000000000,00	
416280220	 0000000000000,00	
416280221	 0000000000000,00	
416280222	 0000000000000,00	
416280223	 0000000000000,00	
416280224	 0000000000000,00	
416280229	 0000000000000,00	
416280300	 0000000000000,00	
416280301	 0000000000000,00	
416280302	 0000000000000,00	
416280400	 0000000000000,00	
416280401	 0000000000000,00	
416280402	 0000000000000,00	
416350000	-0203290827925,00	
416350100	 0000000000000,00	
416350101	 0000000000000,00	
416350102	 0000000000000,00	
416350200	-0203290827925,00	
416350201	-0203290827925,00	
416350203	 0000000000000,00	
416380000	-0009277111806,00	
416380100	 0000007501145,00	
416380101	 0000000000000,00	
416380102	 0000007501145,00	
416380200	-0009284612951,00	
416380201	 0000000000000,00	
416380202	 0000000000000,00	
416380203	 0000000000000,00	
416380204	 0000000000000,00	
416380205	 0000000000000,00	
416380206	 0000000000000,00	
416380207	 0000000000000,00	
416380208	 0000000000000,00	
416380290	-0009284612951,00	
416380300	 0000000000000,00	
416380301	 0000000000000,00	
416380302	 0000000000000,00	
416380303	 0000000000000,00	
416380304	 0000000000000,00	
416380305	 0000000000000,00	
416380306	 0000000000000,00	
416500000	-0062005722789,00	
416500100	-0062005722789,00	
416500200	 0000000000000,00	
416800000	-0066049049674,00	
416800100	 0456407754853,00	
416800200	-0495948447863,00	
416800300	-0026508356664,00	
420000000	 0458466518634,00	
422150100	 0005634424275,00	
422150101	 0000000000000,00	
422150102	 0000541389306,00	
422150103	 0000000000000,00	
422150104	 0005093034969,00	
422180100	 0000000000000,00	
422180101	 0000000000000,00	
422180102	 0000000000000,00	
422250100	 0004742643437,00	
422250101	 0003894615642,00	
422250102	 0000848027795,00	
422280100	 0031168942639,00	
422280101	 0000864536382,00	
422280102	 0000872444951,00	
422280103	 0000987356454,00	
422280104	 0028444604852,00	
422280105	 0000000000000,00	
422280190	 0000000000000,00	
422350100	 0096270167398,00	
422350101	 0010928193359,00	
422350102	 0025853115088,00	
422350103	 0027668882765,00	
422350104	 0003089727088,00	
422350105	 0023148150851,00	
422350106	 0003209613782,00	
422350107	 0000000000000,00	
422350108	 0002372484465,00	
422350109	 0000000000000,00	
422350190	 0000000000000,00	
422380100	 0058289039742,00	
422380101	 0002957199760,00	
422380102	 0021135250141,00	
422380103	 0000000000000,00	
422380104	 0006186119107,00	
422380105	 0000000000000,00	
422380106	 0000000000000,00	
422380107	 0000044588251,00	
422380190	 0027965882483,00	
422450100	 0070201327114,00	
422450101	 0014306155497,00	
422450102	 0000000000000,00	
422450103	 0029707045465,00	
422450104	 0000000000000,00	
422450105	 0003352549691,00	
422450106	 0000000000000,00	
422450107	 0010478124274,00	
422450108	 0001566999797,00	
422450190	 0010790452390,00	
422480100	 0005130433935,00	
422480101	 0004056008568,00	
422480102	 0000819847761,00	
422480103	 0000224682199,00	
422480190	 0000029895407,00	
422550100	 0053249468818,00	
422550101	 0002031434230,00	
422550102	 0027090302263,00	
422550103	 0004901432168,00	
422550104	 0019226300157,00	
422580000	 0054734063915,00	
422580100	 0017569639560,00	
422580101	 0016600816457,00	
422580102	 0000968823103,00	
422580200	 0027132903113,00	
422580300	 0002113677826,00	
422580400	 0007917843416,00	
422650100	 0004554239349,00	
422680100	 0000000000000,00	
422750100	 0000104201895,00	
422780100	 0012550650316,00	
422780101	 0000511620506,00	
422780102	 0011852992695,00	
422780103	 0000000000000,00	
422780190	 0000186037115,00	
422850100	 0061836915801,00	
422850101	 0001444607406,00	
422850102	 0002548772049,00	
422850103	 0000000000000,00	
422850104	 0000239548719,00	
422850105	 0000000000000,00	
422850106	 0000000000000,00	
422850190	 0057603987627,00	
425000000	-0153976991128,00	
425150100	-0046236319086,00	
425150101	-0017279897878,00	
425150102	-0023083483036,00	
425150103	-0001051707519,00	
425150104	-0001284584025,00	
425150105	-0003536646628,00	
425150190	 0000000000000,00	
425180100	-0005306100287,00	
425180101	 0000000000000,00	
425180102	-0005306100287,00	
425180103	 0000000000000,00	
425180104	 0000000000000,00	
425180190	 0000000000000,00	
425250100	 0000000000000,00	
425280100	-0028497850797,00	
425280101	 0000000000000,00	
425280102	-0026351778421,00	
425280103	 0000000000000,00	
425280104	-0002146072376,00	
425280105	 0000000000000,00	
425280109	 0000000000000,00	
425280190	 0000000000000,00	
425350100	-0047044275022,00	
425350101	-0039543545077,00	
425350102	-0005087102603,00	
425350103	 0000000000000,00	
425350104	 0000000000000,00	
425350105	-0002413627342,00	
425350106	 0000000000000,00	
425350190	 0000000000000,00	
425380100	-0026892445936,00	
425380101	 0000000000000,00	
425380102	-0000372514372,00	
425380103	-0001347315419,00	
425380104	-0000407537613,00	
425380105	 0000000000000,00	
425380106	-0000371571099,00	
425380190	-0024393507433,00	
431000000	 0226156888243,00	
431150100	 0147430071987,00	
431150101	 10634250765498,00	
431150102	-10486820693511,00	
431180100	 0094890641639,00	
431180101	 0045009600162,00	
431180102	-0000830846289,00	
431180103	 0046510387510,00	
431180104	-0041115277921,00	
431180105	 0030179354456,00	
431180106	 0015137423721,00	
431250000	-0016163825383,00	
431250100	-0022611626580,00	
431250101	 0014136536960,00	
431250102	-0036748163540,00	
431250103	 0000000000000,00	
431250104	 0000000000000,00	
431250200	 0006722662518,00	
431250201	 0006722662518,00	
431250202	 0000000000000,00	
431250203	 0000000000000,00	
431250204	 0000000000000,00	
431250205	 0000000000000,00	
431250300	-0000274861321,00	
431250301	 0000000000000,00	
431250302	 0000000000000,00	
431250303	 0000017877738,00	
431250304	-0000292739059,00	
431250305	 0000000000000,00	
431250306	 0000000000000,00	
431250900	 0000000000000,00	
431250901	 0000000000000,00	
