014	SCOTIABANK CHILE
422850101	 0000001063602,00	
422850102	 0000141359235,00	
422850103	 0000238091591,00	
422850104	 0000000000000,00	
422850105	 0000000000000,00	
422850106	 0006921432275,00	
422850190	 0003575787802,00	
425000000	-0056147731977,00	
425150100	-0026508045792,00	
425150101	 0000000000000,00	
425150102	-0014921214647,00	
425150103	-0011349776123,00	
425150104	 0000000000000,00	
425150105	 0000000000000,00	
425150190	-0000237055022,00	
425180100	-0000738700376,00	
425180101	-0000649269259,00	
425180102	-0000089431117,00	
425180103	 0000000000000,00	
425180104	 0000000000000,00	
425180190	 0000000000000,00	
425250100	 0000000000000,00	
425280100	-0012929043223,00	
425280101	 0000000000000,00	
425280102	-0012002177545,00	
425280103	-0000020861029,00	
425280104	 0000000000000,00	
425280105	 0000000000000,00	
425280109	 0000000000000,00	
425280190	-0000906004649,00	
425350100	-0002502064882,00	
425350101	-0000507177534,00	
425350102	-0001971962419,00	
425350103	 0000000000000,00	
425350104	 0000000000000,00	
425350105	 0000000000000,00	
425350106	 0000000000000,00	
425350190	-0000022924929,00	
425380100	-0013469877704,00	
425380101	 0000000000000,00	
425380102	 0000000000000,00	
425380103	-0000064786752,00	
425380104	 0000000000000,00	
425380105	-0009421002885,00	
425380106	 0000000000000,00	
425380190	-0003984088067,00	
431000000	 3939295922983,00	
431150100	 3917084320505,00	
431150101	 4869504785915,00	
431150102	-0952420465410,00	
431180100	 0016041633127,00	
431180101	 0002229978509,00	
431180102	-0000726523386,00	
431180103	 0003605580449,00	
431180104	-0004183978282,00	
431180105	 0012972349127,00	
431180106	 0002144226710,00	
431250000	 0006169969351,00	
431250100	 0004560079879,00	
431250101	 0003688491752,00	
431250102	-0000077484661,00	
431250103	 0000962412991,00	
431250104	-0000013340203,00	
431250200	 0001490135269,00	
431250201	 0000322260246,00	
431250202	-0000047511996,00	
431250203	 0002330216865,00	
431250204	-0001485892056,00	
431250205	 0000371062210,00	
431250300	 0000000000000,00	
431250301	 0000000000000,00	
431250302	 0000000000000,00	
431250303	 0000000000000,00	
431250304	 0000000000000,00	
431250305	 0000000000000,00	
431250306	 0000000000000,00	
431250900	 0000119754203,00	
431250901	 0000000000000,00	
431250902	 0000000000000,00	
431250903	 0000119755767,00	
431250904	-0000000001564,00	
431250905	 0000000000000,00	
431250906	 0000000000000,00	
431500000	-3860686444207,00	
431650100	-3860686444207,00	
431650101	 0909377986273,00	
431650102	-4770064430480,00	
431750100	 0000000000000,00	
431750101	 0000000000000,00	
431750102	 0000000000000,00	
431750103	 0000000000000,00	
431750104	 0000000000000,00	
431750105	 0000000000000,00	
431750106	 0000000000000,00	
431800000	 0000000000000,00	
431800100	 0000000000000,00	
431800101	 0000000000000,00	
431800102	 0000000000000,00	
431800103	 0000000000000,00	
431800104	 0000000000000,00	
431800105	 0000000000000,00	
431800106	 0000000000000,00	
431800900	 0000000000000,00	
431800901	 0000000000000,00	
431800902	 0000000000000,00	
431800903	 0000000000000,00	
431800904	 0000000000000,00	
431800905	 0000000000000,00	
431800906	 0000000000000,00	
431850000	 0000000000000,00	
431850100	 0000000000000,00	
431850101	 0000000000000,00	
431850102	 0000000000000,00	
431850103	 0000000000000,00	
431850104	 0000000000000,00	
431850105	 0000000000000,00	
431850106	 0000000000000,00	
431850200	 0000000000000,00	
431850210	 0000000000000,00	
431850211	 0000000000000,00	
431850212	 0000000000000,00	
431850213	 0000000000000,00	
431850214	 0000000000000,00	
431850215	 0000000000000,00	
431850216	 0000000000000,00	
431850220	 0000000000000,00	
431850221	 0000000000000,00	
431850222	 0000000000000,00	
431850223	 0000000000000,00	
431850224	 0000000000000,00	
431850225	 0000000000000,00	
431850226	 0000000000000,00	
431900000	 0000000000000,00	
431900100	 0000000000000,00	
431900101	 0000000000000,00	
431900102	 0000000000000,00	
431900103	 0000000000000,00	
431900104	 0000000000000,00	
431900105	 0000000000000,00	
431900106	 0000000000000,00	
431900200	 0000000000000,00	
431900201	 0000000000000,00	
431900202	 0000000000000,00	
431900203	 0000000000000,00	
431900204	 0000000000000,00	
431900205	 0000000000000,00	
431900206	 0000000000000,00	
431900300	 0000000000000,00	
431900301	 0000000000000,00	
431900302	 0000000000000,00	
431900303	 0000000000000,00	
431900304	 0000000000000,00	
431900305	 0000000000000,00	
431900306	 0000000000000,00	
432000000	 0002191104713,00	
432200000	 0001284830717,00	
432200100	 0000000000000,00	
432200200	 0000000000000,00	
432200300	 0000000000000,00	
432200400	 0001284830717,00	
432200500	 0000000000000,00	
432200600	 0000000000000,00	
432300700	 0000000000000,00	
432400000	 0000906273996,00	
432400100	 0000000000000,00	
432400200	 0000906273996,00	
432400300	 0000000000000,00	
432400400	 0000000000000,00	
432400500	 0000000000000,00	
432400600	 0000000000000,00	
432400700	 0000000000000,00	
432600000	 0000000000000,00	
432600100	 0000000000000,00	
432600200	 0000000000000,00	
432600300	 0000000000000,00	
432600400	 0000000000000,00	
432600500	 0000000000000,00	
432600600	 0000000000000,00	
432600800	 0000000000000,00	
432600900	 0000000000000,00	
432700000	 0000000000000,00	
432700100	 0000000000000,00	
432700200	 0000000000000,00	
433000000	-0011727485750,00	
433100100	-0006876854537,00	
433100101	-0007924493343,00	
433100102	 0001047638806,00	
433200000	-0004754710891,00	
433210000	 0000000000000,00	
433210100	 0000000000000,00	
433210200	 0000000000000,00	
433220000	 0000000000000,00	
433220100	 0000000000000,00	
433220200	 0000000000000,00	
433230000	 0000000000000,00	
433230100	 0000000000000,00	
433230200	 0000000000000,00	
433240000	 0000000000000,00	
433240100	 0000000000000,00	
433240200	 0000000000000,00	
433250000	-0004754710891,00	
433250100	 0000000000000,00	
433250200	 0000000000000,00	
433250300	 0000000000000,00	
433250301	 0000000000000,00	
433250302	 0000000000000,00	
433250303	 0000000000000,00	
433250304	 0000000000000,00	
433250400	-0004754710891,00	
433250410	 0000000000000,00	
433250411	 0000000000000,00	
433250412	 0000000000000,00	
433250413	 0000000000000,00	
433250414	 0000000000000,00	
433250415	 0000000000000,00	
433250416	 0000000000000,00	
433250420	 0000000000000,00	
433250421	 0000000000000,00	
433250422	 0000000000000,00	
433250423	 0000000000000,00	
433250424	 0000000000000,00	
433250425	 0000000000000,00	
433250426	 0000000000000,00	
433250430	 0000000000000,00	
433250440	 0000000000000,00	
433250450	 0000000000000,00	
433250451	 0000000000000,00	
433250452	 0000000000000,00	
433250460	-0004754710891,00	
433250461	-0000205466243,00	
433250462	-0004549244648,00	
433250470	 0000000000000,00	
433250480	 0000000000000,00	
433250481	 0000000000000,00	
433250482	 0000000000000,00	
433250483	 0000000000000,00	
433250500	 0000000000000,00	
433250600	 0000000000000,00	
433260000	 0000000000000,00	
433300000	 0000000000000,00	
433300100	 0000000000000,00	
433300200	 0000000000000,00	
433300300	 0000000000000,00	
433300400	 0000000000000,00	
433300500	 0000000000000,00	
433300600	 0000000000000,00	
433300700	 0000000000000,00	
433300900	 0000000000000,00	
433301000	 0000000000000,00	
433310000	 0000000000000,00	
433320000	 0000000000000,00	
433330000	 0000000000000,00	
433330100	 0000000000000,00	
433330200	 0000000000000,00	
433500100	-0000095920322,00	
433500101	 0011465634901,00	
433500102	-0014204148425,00	
433500103	 0184380715298,00	
433500104	-0181738122096,00	
434000000	 0000000000000,00	
434000100	 0000000000000,00	
434000101	 0000000000000,00	
434000102	 0000000000000,00	
434000103	 0000000000000,00	
434000104	 0000000000000,00	
434000109	 0000000000000,00	
434000200	 0000000000000,00	
434000201	 0000000000000,00	
434000202	 0000000000000,00	
434000203	 0000000000000,00	
434000204	 0000000000000,00	
434000209	 0000000000000,00	
435200000	 0000000000000,00	
435200100	 0000000000000,00	
435200101	 0000000000000,00	
435200102	 0000000000000,00	
435200103	 0000000000000,00	
435200200	 0000000000000,00	
435200201	 0000000000000,00	
435200202	 0000000000000,00	
435200300	 0000000000000,00	
435200301	 0000000000000,00	
435200302	 0000000000000,00	
435200303	 0000000000000,00	
435200304	 0000000000000,00	
435200305	 0000000000000,00	
435200306	 0000000000000,00	
435200308	 0000000000000,00	
435200309	 0000000000000,00	
435200400	 0000000000000,00	
435200500	 0000000000000,00	
435200501	 0000000000000,00	
435200502	 0000000000000,00	
435200503	 0000000000000,00	
435300000	-0002303948943,00	
435300100	-0002303948943,00	
435300200	 0000000000000,00	
435400000	 0000000000000,00	
435400100	 0000000000000,00	
435400101	 0000000000000,00	
435400102	 0000000000000,00	
435400103	 0000000000000,00	
440000000	 0003936870150,00	
442000100	 0003936870150,00	
442000101	 0000000000000,00	
442000102	 0000000000000,00	
442000103	 0000000000000,00	
442000104	 0003555411068,00	
442000105	 0000000000000,00	
442000106	 0000000000000,00	
442000107	 0000000000000,00	
442000108	 0000377766853,00	
442000109	 0000003692229,00	
444000100	 0000000000000,00	
444000101	 0000000000000,00	
444000102	 0000000000000,00	
444000103	 0000000000000,00	
444000104	 0000000000000,00	
444000105	 0000000000000,00	
444000106	 0000000000000,00	
444000107	 0000000000000,00	
450000000	 0000958785789,00	
451000000	 0000561186092,00	
451000100	 0003059704910,00	
451000101	 0000000000000,00	
451000102	 0003059704910,00	
451000200	 0000332417488,00	
451000300	-0000613022021,00	
451000400	-0001877087947,00	
451000500	-0000340826338,00	
452000100	 0000397599697,00	
452000101	 0000079168039,00	
452000102	 0000000000000,00	
452000103	 0000318431658,00	
452000104	 0000000000000,00	
452000109	 0000000000000,00	
452000200	 0000000000000,00	
455000000	 0039517805657,00	
455000100	 0000000000000,00	
455000200	 0000000000000,00	
455000300	 0003061045975,00	
455000400	 0000000000000,00	
455000500	 0000334097101,00	
455000600	 0006828483961,00	
455000900	 0029294178620,00	
462000000	-0177784902026,00	
462100100	-0165340431994,00	
462100101	-0090296323780,00	
462100102	-0026678448241,00	
462100103	-0008305636837,00	
462100190	-0040060023136,00	
462200100	 0000000000000,00	
462300100	-0001579839030,00	
462300101	 0000000000000,00	
462300102	-0001245332862,00	
462300190	-0000334506168,00	
462400100	-0009914453977,00	
462400101	-0009914453977,00	
462400190	 0000000000000,00	
462500100	 0000000000000,00	
462500101	 0000000000000,00	
462500102	 0000000000000,00	
462600100	 0000000000000,00	
462700100	 0000000000000,00	
462800100	 0000000000000,00	
462900100	-0000950177025,00	
462900101	-0000950177025,00	
462900102	 0000000000000,00	
462900190	 0000000000000,00	
464000000	-0138161638440,00	
464100100	-0083645262398,00	
464100101	-0002852556244,00	
464100102	 0000000000000,00	
464100103	-0000188297703,00	
464100104	-0003519395120,00	
464100105	-0002369922990,00	
464100106	-0000870845040,00	
464100107	-0029840912832,00	
464100108	-0001586483064,00	
464100109	-0002043703910,00	
464100110	-0000659757592,00	
464100111	-0007563275421,00	
464100112	-0000703840133,00	
464100113	 0000000000000,00	
464100114	 0000000000000,00	
464100115	 0000000000000,00	
464100116	-0001106676964,00	
464100117	 0000000000000,00	
464100118	-0000027519165,00	
464100190	-0030312076220,00	
464200100	-0035294240774,00	
464200101	-0000591643617,00	
464200102	-0000120817328,00	
464200103	-0001018256172,00	
