049	BANCO SECURITY
422180102	 0000000000000,00	
422250100	 0000134620749,00	
422250101	 0000134620749,00	
422250102	 0000000000000,00	
422280100	 0001249074300,00	
422280101	 0000081708433,00	
422280102	 0000000000000,00	
422280103	 0000118739397,00	
422280104	 0000932631509,00	
422280105	 0000000000000,00	
422280190	 0000115994961,00	
422350100	 0002275646841,00	
422350101	 0000000000000,00	
422350102	 0000353313023,00	
422350103	 0001521734102,00	
422350104	 0000149300919,00	
422350105	 0000251298797,00	
422350106	 0000000000000,00	
422350107	 0000000000000,00	
422350108	 0000000000000,00	
422350109	 0000000000000,00	
422350190	 0000000000000,00	
422380100	 0001264775611,00	
422380101	 0000534243662,00	
422380102	 0000730531949,00	
422380103	 0000000000000,00	
422380104	 0000000000000,00	
422380105	 0000000000000,00	
422380106	 0000000000000,00	
422380107	 0000000000000,00	
422380190	 0000000000000,00	
422450100	 0002418703941,00	
422450101	 0000000000000,00	
422450102	 0000000000000,00	
422450103	 0001017873485,00	
422450104	 0000000000000,00	
422450105	 0000000000000,00	
422450106	 0000000000000,00	
422450107	 0000847465457,00	
422450108	 0000034262872,00	
422450190	 0000519102127,00	
422480100	 0002092952228,00	
422480101	 0000422777960,00	
422480102	 0000211231806,00	
422480103	 0001308629567,00	
422480190	 0000150312895,00	
422550100	 0007070129988,00	
422550101	 0007067924442,00	
422550102	 0000002205546,00	
422550103	 0000000000000,00	
422550104	 0000000000000,00	
422580000	 0000000000000,00	
422580100	 0000000000000,00	
422580101	 0000000000000,00	
422580102	 0000000000000,00	
422580200	 0000000000000,00	
422580300	 0000000000000,00	
422580400	 0000000000000,00	
422650100	 0000000000000,00	
422680100	 0000000000000,00	
422750100	 0000000000000,00	
422780100	 0000748205487,00	
422780101	 0000000000000,00	
422780102	 0000000000000,00	
422780103	 0000000000000,00	
422780190	 0000748205487,00	
422850100	 0000160757145,00	
422850101	 0000000000000,00	
422850102	 0000000000000,00	
422850103	 0000000000000,00	
422850104	 0000000000000,00	
422850105	 0000000000000,00	
422850106	 0000000000000,00	
422850190	 0000160757145,00	
425000000	-0003320966966,00	
425150100	-0000001705817,00	
425150101	 0000000000000,00	
425150102	-0000000283705,00	
425150103	-0000001422112,00	
425150104	 0000000000000,00	
425150105	 0000000000000,00	
425150190	 0000000000000,00	
425180100	-0001807475400,00	
425180101	-0001807475400,00	
425180102	 0000000000000,00	
425180103	 0000000000000,00	
425180104	 0000000000000,00	
425180190	 0000000000000,00	
425250100	 0000000000000,00	
425280100	 0000000000000,00	
425280101	 0000000000000,00	
425280102	 0000000000000,00	
425280103	 0000000000000,00	
425280104	 0000000000000,00	
425280105	 0000000000000,00	
425280109	 0000000000000,00	
425280190	 0000000000000,00	
425350100	-0000945547865,00	
425350101	 0000000000000,00	
425350102	-0000900965480,00	
425350103	 0000000000000,00	
425350104	 0000000000000,00	
425350105	 0000000000000,00	
425350106	 0000000000000,00	
425350190	-0000044582385,00	
425380100	-0000566237884,00	
425380101	 0000000000000,00	
425380102	 0000000000000,00	
425380103	-0000010907504,00	
425380104	 0000000000000,00	
425380105	-0000385763849,00	
425380106	 0000000000000,00	
425380190	-0000169566531,00	
431000000	 0005895509938,00	
431150100	 0003337069851,00	
431150101	 0139751680290,00	
431150102	-0136414610439,00	
431180100	 0002653354086,00	
431180101	 0000000000000,00	
431180102	-0000354561257,00	
431180103	 0002154787413,00	
431180104	-0000005206959,00	
431180105	 0000858334889,00	
431180106	 0000000000000,00	
431250000	-0000094913999,00	
431250100	 0000102680090,00	
431250101	 0000000000000,00	
431250102	 0000000000000,00	
431250103	 0000102680090,00	
431250104	 0000000000000,00	
431250200	-0000197594089,00	
431250201	 0000000000000,00	
431250202	 0000000000000,00	
431250203	 0000000000000,00	
431250204	-0000197594089,00	
431250205	 0000000000000,00	
431250300	 0000000000000,00	
431250301	 0000000000000,00	
431250302	 0000000000000,00	
431250303	 0000000000000,00	
431250304	 0000000000000,00	
431250305	 0000000000000,00	
431250306	 0000000000000,00	
431250900	 0000000000000,00	
431250901	 0000000000000,00	
431250902	 0000000000000,00	
431250903	 0000000000000,00	
431250904	 0000000000000,00	
431250905	 0000000000000,00	
431250906	 0000000000000,00	
431500000	 0000000000000,00	
431650100	 0000000000000,00	
431650101	 0000000000000,00	
431650102	 0000000000000,00	
431750100	 0000000000000,00	
431750101	 0000000000000,00	
431750102	 0000000000000,00	
431750103	 0000000000000,00	
431750104	 0000000000000,00	
431750105	 0000000000000,00	
431750106	 0000000000000,00	
431800000	 0000000000000,00	
431800100	 0000000000000,00	
431800101	 0000000000000,00	
431800102	 0000000000000,00	
431800103	 0000000000000,00	
431800104	 0000000000000,00	
431800105	 0000000000000,00	
431800106	 0000000000000,00	
431800900	 0000000000000,00	
431800901	 0000000000000,00	
431800902	 0000000000000,00	
431800903	 0000000000000,00	
431800904	 0000000000000,00	
431800905	 0000000000000,00	
431800906	 0000000000000,00	
431850000	 0000000000000,00	
431850100	 0000000000000,00	
431850101	 0000000000000,00	
431850102	 0000000000000,00	
431850103	 0000000000000,00	
431850104	 0000000000000,00	
431850105	 0000000000000,00	
431850106	 0000000000000,00	
431850200	 0000000000000,00	
431850210	 0000000000000,00	
431850211	 0000000000000,00	
431850212	 0000000000000,00	
431850213	 0000000000000,00	
431850214	 0000000000000,00	
431850215	 0000000000000,00	
431850216	 0000000000000,00	
431850220	 0000000000000,00	
431850221	 0000000000000,00	
431850222	 0000000000000,00	
431850223	 0000000000000,00	
431850224	 0000000000000,00	
431850225	 0000000000000,00	
431850226	 0000000000000,00	
431900000	 0000000000000,00	
431900100	 0000000000000,00	
431900101	 0000000000000,00	
431900102	 0000000000000,00	
431900103	 0000000000000,00	
431900104	 0000000000000,00	
431900105	 0000000000000,00	
431900106	 0000000000000,00	
431900200	 0000000000000,00	
431900201	 0000000000000,00	
431900202	 0000000000000,00	
431900203	 0000000000000,00	
