001	BANCO DE CHILE
422850101	 0000613073056,00	
422850102	 0000321288265,00	
422850103	 0000430605774,00	
422850104	 0002124525389,00	
422850105	 0000000000000,00	
422850106	 0000000000000,00	
422850190	 0036030754810,00	
425000000	-0076107478934,00	
425150100	-0027585182308,00	
425150101	-0005243877999,00	
425150102	-0012521882523,00	
425150103	-0009819421786,00	
425150104	 0000000000000,00	
425150105	 0000000000000,00	
425150190	 0000000000000,00	
425180100	-0004272220044,00	
425180101	-0003151758199,00	
425180102	-0001120461845,00	
425180103	 0000000000000,00	
425180104	 0000000000000,00	
425180190	 0000000000000,00	
425250100	 0000000000000,00	
425280100	-0014389249310,00	
425280101	 0000000000000,00	
425280102	-0014389249310,00	
425280103	 0000000000000,00	
425280104	 0000000000000,00	
425280105	 0000000000000,00	
425280109	 0000000000000,00	
425280190	 0000000000000,00	
425350100	-0002649131486,00	
425350101	-0000995203129,00	
425350102	-0001191460354,00	
425350103	 0000000000000,00	
425350104	 0000000000000,00	
425350105	-0000057028144,00	
425350106	 0000000000000,00	
425350190	-0000405439859,00	
425380100	-0027211695786,00	
425380101	 0000000000000,00	
425380102	 0000000000000,00	
425380103	-0000561451326,00	
425380104	 0000000000000,00	
425380105	-0023812633480,00	
425380106	 0000000000000,00	
425380190	-0002837610980,00	
431000000	 2959442695581,00	
431150100	 2796753496403,00	
431150101	 3447311476570,00	
431150102	-0650557980167,00	
431180100	 0153048431291,00	
431180101	 0002399295939,00	
431180102	-0003551896647,00	
431180103	 0009194410621,00	
431180104	-0007301360971,00	
431180105	 0146868018440,00	
431180106	 0005439963909,00	
431250000	 0009640767887,00	
431250100	 0007494126130,00	
431250101	 0005254569440,00	
431250102	 0000000000000,00	
431250103	 0002351386063,00	
431250104	-0000111829373,00	
431250200	 0001418609679,00	
431250201	 0000037147001,00	
431250202	-0000047827835,00	
431250203	 0006278200228,00	
431250204	-0004867560180,00	
431250205	 0000018650465,00	
431250300	 0000000000000,00	
431250301	 0000000000000,00	
431250302	 0000000000000,00	
431250303	 0000000000000,00	
431250304	 0000000000000,00	
431250305	 0000000000000,00	
431250306	 0000000000000,00	
431250900	 0000728032078,00	
431250901	 0000855218698,00	
431250902	-0000127186620,00	
431250903	 0000000000000,00	
431250904	 0000000000000,00	
431250905	 0000000000000,00	
431250906	 0000000000000,00	
431500000	-2722591213409,00	
431650100	-2721549545818,00	
431650101	 0682239061246,00	
431650102	-3403788607064,00	
431750100	-0001041667591,00	
431750101	 0000007610143,00	
431750102	-0000015959823,00	
431750103	 0000602500287,00	
431750104	-0001543273129,00	
431750105	-0000092545069,00	
431750106	 0000000000000,00	
431800000	 0000000000000,00	
431800100	 0000000000000,00	
431800101	 0000000000000,00	
431800102	 0000000000000,00	
431800103	 0000000000000,00	
431800104	 0000000000000,00	
431800105	 0000000000000,00	
431800106	 0000000000000,00	
431800900	 0000000000000,00	
431800901	 0000000000000,00	
431800902	 0000000000000,00	
431800903	 0000000000000,00	
431800904	 0000000000000,00	
431800905	 0000000000000,00	
431800906	 0000000000000,00	
431850000	 0000000000000,00	
431850100	 0000000000000,00	
431850101	 0000000000000,00	
431850102	 0000000000000,00	
431850103	 0000000000000,00	
431850104	 0000000000000,00	
431850105	 0000000000000,00	
431850106	 0000000000000,00	
431850200	 0000000000000,00	
431850210	 0000000000000,00	
431850211	 0000000000000,00	
431850212	 0000000000000,00	
431850213	 0000000000000,00	
431850214	 0000000000000,00	
431850215	 0000000000000,00	
431850216	 0000000000000,00	
431850220	 0000000000000,00	
431850221	 0000000000000,00	
431850222	 0000000000000,00	
